AGETL,PROGRAM_NAME,RPT_FISCAL_YR,ACTIVE,AMT_PROG_OL,AMT_IP,AMT_OVER_PAYMT,AMT_UNDER_PAYMT,AMT_YR_ONE_OL,AMT_YR_ONE_IP,AMT_YR_TWO_OL,AMT_YR_TWO_IP,AMT_YR_THREE_OL,AMT_YR_THREE_IP
Federal Communications Commission,Universal Service Fund - High Cost,2008,A,4164.37,970.3,0,0,4164.37,687.12,4164.37,687.12,4164.37,687.12
Federal Communications Commission,Universal Service Fund - Low Income,2008,A,794.73,75.5,0,0,794.73,75.5,794.73,75.5,794.73,75.5
Federal Communications Commission,Universal Service Fund - Schools and Libraries,2008,A,1686.23,232.7,0,0,1686.23,217.52,1686.23,217.52,1686.23,217.52
International Assistance Programs,USAID Cash Transfers,2008,A,2187,2,2,0,2296,1.15,2411,0.42,2532,0.25
International Assistance Programs,USAID Contracts,2008,A,5767,69,69,0,6055,30.3,6358,15.9,6676,1.7
International Assistance Programs,USAID Grants & Cooperative Agreements,2008,A,3126,36,36,0,3282,16.4,3446,8.6,3619,0.9
Office of Personnel Management,Federal Employee Health Benefit Program,2008,A,35323.5,83.7,80.1,3.6,37123,87.7,38923,91.1,40723,94.6
Office of Personnel Management,Federal Employee Life Insurance Program,2008,A,2487.7,0.6,0.2,0.4,2515,0.6,2650,0.6,2765,0.6
Office of Personnel Management,Federal Employee Retirement Programs,2008,A,63025,245.9,198.3,47.6,67300,254.6,70700,255.5,74100,253.1
Railroad Retirement Board,Railroad Unemployment Insurance Program,2008,A,107,2.1,1.6,0.5,115.5,2.3,123.2,2.5,130.8,2.6
Railroad Retirement Board,Retirement and Survivors Benefits,2008,A,9812.5,92.7,47.1,45.6,10108.2,95.5,10433.3,98.6,10766.7,101.8
Small Business Administration,(504) Certified Development Company Debentures (CDC),2008,A,5245.6,0,0,0,6000,0,6500,0,7000,0
Small Business Administration,7(a) Business Loans,2008,A,1230.9,6.5,0,0,840,4.2,830,4.2,880,4.4
Small Business Administration,7(a) Guaranty Approvals,2008,A,11739.1,0,0,0,12000,0,13000,0,14000,0
Small Business Administration,CDC Loans Guarantied,2008,A,5245.6,0,0,0,6000,0,6500,0,7000,0
Small Business Administration,Disaster Assistance Loans,2008,A,825.8,508.7,0,0,2004,14,1500,10.5,1000,7
Small Business Administration,Small Business Investment Centers (SBIC),2008,A,2283,0,0,0,2100,4.2,1850,3.7,1700,3.4
Social Security Administration,"Old Age, Survivors & Disability Insurance (OASDI)",2008,A,576800,1963,1209,754,605927,2424,646908,2588,686633,2746
Social Security Administration,Supplemental Security Income (SSI),2008,A,42600,4552,3900,652,45588,2370,48431,2518,50977,2651
Department of Agriculture,Child and Adult Care Food - FDC Homes-Tiering Component,2009,A,713,14.7,13.3,1.4,758,11.07,799,11.27,816,11.1
Department of Agriculture,Conservation Reserve,2009,A,1876,11.2,11,0.2,1852,13.15,1764,12.35,1841,12.7
Department of Agriculture,Direct & Counter-Cyclical Payments,2009,A,4948,19.5,18.7,0.8,5985,24.54,5859,23.44,4282,16.7
Department of Agriculture,Farm Security & Rural Investment,2009,A,1319.54,0.35,0.35,0,1789.83,3.58,2172.2,3.26,2687.63,2.69
Department of Agriculture,Farm Service Disaster,2009,A,2245,19.2,13.9,5.3,1643,14.62,1284,11.3,1205,10.48
Department of Agriculture,Federal Crop Insurance,2009,A,3545,205.3,205.1,0.2,8550,384.75,6000,264,6000,258
Department of Agriculture,Loan Deficiency Payments,2009,A,6,0,0,0,152,0.91,151,0.91,151,0.91
Department of Agriculture,Marketing Assistance Loan,2009,A,4935,85.4,85.4,0,8824,136.77,8824,127.95,8824,127.95
Department of Agriculture,Non-insured Assistance,2009,A,67.4,8.3,7.6,0.7,275,25.36,275,16.23,275,6.88
Department of Agriculture,Rental Assistance,2009,A,887,18.26,18.26,0,961,19.7,999,20.38,1030,20.91
Department of Agriculture,School Breakfast,2009,A,2273,560,484,76,2589,606.34,2823,639.69,2959,648.61
Department of Agriculture,School Lunch,2009,A,9436,1551,1176,375,10215,1596.6,10941,1661.94,11370,1678.21
Department of Agriculture,"Special Nutrition Program for Women, Infants, and Children (WIC) Vendor Error Component",2009,A,4483,57,36,21,4901,37.74,5265,37.91,5376,36.02
Department of Agriculture,Supplemental Nutrition Assistance Program (SNAP),2009,A,34611.4,1732.63,1386.55,346.08,35189,1759.45,35483,1774.15,35483,1774.15
Department of Agriculture,Wildland Fire Suppression,2009,A,1015.6,0,0,0,2090,0.42,2300,0.46,2400,0.48
Department of Defense--Military Programs,Civilian Pay,2009,A,29914.2,94.6,82,12.6,31300,93.9,32300,93.7,32300,90.4
Department of Defense--Military Programs,Military Health Benefits,2009,A,11700,49.1,13.8,35.3,12700,254,14000,280,15200,304
Department of Defense--Military Programs,Military Pay,2009,A,84566.9,406.5,173.9,232.6,69700,313.7,71000,319.5,71300,313.7
Department of Defense--Military Programs,Military Retirement Benefits,2009,A,38859.5,49.5,49,0.5,42900,54.2,44500,52.3,44500,52.3
Department of Defense--Military Programs,Travel Pay,2009,A,6565,59.9,52.9,7,6800,61.2,6800,59.8,6800,59.2
Department of Education,Pell Grants,2009,A,16281,570,0,0,28820,1009,32301,1131,34236,1198
Department of Education,Title I - Grants to States,2009,A,12520,29,0,0,12656,29,13123,30,13481,31
Department of Health and Human Services,Child Care and Development Fund (CCDF),2009,A,5245,624,0,0,6342,742,6453,723,6181,661
Department of Health and Human Services,Foster Care-Title IV-E,2009,A,1610,75.7,0,0,1546,69.6,1385,58.9,1317,52.7
Department of Health and Human Services,HeadStart,2009,A,7113,213.4,0,0,7235,202.6,7235,188.1,7235,173.6
Department of Health and Human Services,Medicaid,2009,A,188286,18075,0,0,188286,18075,188286,18075,188286,18075
Department of Health and Human Services,Medicare Advantage (Part C),2009,A,77985,12010,0,0,116256,16625,134440,18420,123176,16300
Department of Health and Human Services,Medicare Fee-for-Service (FFS),2009,A,285120,30793,0,0,335445,31867.28,348295,29605.08,373651,23166.4
Department of Homeland Security,Assistance to Firefighters,2009,A,505,23,23,0,533,24,540,23,410,16.4
Department of Homeland Security,CBP Custodial Refund & Drawback,2009,A,1538,11.34,10.67,0.67,1418,0.99,1350,0.95,1350,0.95
Department of Homeland Security,Detention and Removal Operations,2009,A,1202,12,11.9,0.1,1238,12,1275,11,1313,10
Department of Homeland Security,Disaster Relief Fund Vendor Payments,2009,A,836,73.7,71.2,2.5,2992,180,3142,125,3299,82
Department of Homeland Security,Federal Protective Service,2009,A,712,0.07,0.07,0,778,0.01,778,0.01,778,0.01
Department of Homeland Security,Homeland Security Grant Program,2009,A,1390,261,261,0,1390,236,1390,209,1390,167
Department of Homeland Security,Individuals & Households Program,2009,A,638,11.8,8.7,3.1,702,10.5,772,9.7,849,8.5
Department of Homeland Security,National Flood Insurance Program,2009,A,819,52.3,52.1,0.2,3300,198,1400,80,1400,77
Department of Homeland Security,Public Assistance Programs,2009,A,3325,182,182,0,3325,182,3325,173,3325,128
Department of Homeland Security,USCG Active Duty Military Payroll,2009,A,2715,12.57,5.44,7.13,2773,10,2927,7,3006,4
Department of Housing and Urban Development,Public Housing / Rental Assistance,2009,A,29035.28,1021.67,737.4,284.27,30000,990,30000,960,30000,930
Department of Labor,Unemployment Insurance (UI),2009,A,119249,12283,11448,835,140190,13822,89720,8757,71510,6908
Department of Labor,Workforce Investment Act (WIA),2009,A,4300,8.6,8.6,0,5970,4.2,4412,3.1,3723,2.6
Department of the Treasury,Earned Income Tax Credit (EITC),2009,A,48100,12250,0,0,60700,15500,58500,14900,49400,12600
Department of Transportation,FAA Airport Improvement Program,2009,A,4725,37.8,37.8,0,3496,28,3498,28,3310,26.5
Department of Transportation,FHWA Highway Planning/Construction,2009,A,40442,1415.8,1415.8,0,40351,968.4,41485,829.7,42109,631.6
Department of Transportation,FTA Capital Investment Grants Program,2009,A,3129,28.2,28.2,0,2424,0,2200,11,2199,11
Department of Transportation,FTA Formula Grants Program,2009,A,7264,14.5,10,4.5,9168,45.8,8777,43.9,9038,45.2
Department of Veterans Affairs,Compensation/Dependency & Indemnity,2009,A,36375,439.8,328.4,111.4,39907,399.1,43139,431.3,45743,448.4
Department of Veterans Affairs,Education,2009,A,2986,66.3,29.9,36.4,3586,95.3,9032,903.2,10510,998.4
Department of Veterans Affairs,Fee Program,2009,A,1626,277,225,52,2827,255,2968,178,3116,140
Department of Veterans Affairs,Non-VA Care Civilian Health and Medical Program of the Dept of Veterans Affairs (CHAMPVA),2009,A,607.5,33.06,32.4,0.66,661.4,26.4,718.4,25.1,787.7,27.5
Department of Veterans Affairs,Pension,2009,A,3777,424.5,414.1,10.4,4099,334.6,4012,322.1,4139,325.8
Environmental Protection Agency,Clean & Drinking Water State Revolving Fund (SRF),2009,A,1900,1.1,0,0,3639,1.1,0,0,0,0
International Assistance Programs,USAID Twenty Seven Program Areas,2009,A,13467,38,38,0,14141,28,14848,18,15590,6
National Science Foundation,Research and Education Grants,2009,A,4645,0,0,0,5489,2.2,5646,2.5,6131,2.5
Office of Personnel Management,Background Investigations,2009,A,467.9,28.1,0,0,491.2,21.7,515.8,16,541.6,11.9
Office of Personnel Management,Federal Employee Health Benefit Program,2009,A,37093.9,112.3,110.5,1.8,38913,113.4,40713,115.4,42513,116.4
Office of Personnel Management,Federal Employee Life Insurance Program,2009,A,2506.2,0.9,0.3,0.6,2525,0.9,2544,0.9,2563,0.7
Office of Personnel Management,Federal Employee Retirement Programs,2009,A,67194.1,211.7,160.1,51.6,71000,216.6,74400,219.5,77800,217.1
Railroad Retirement Board,Retirement and Survivors Benefits,2009,A,10049.9,79,51.2,27.8,10537.3,82.8,10784.8,84.8,10925.7,85.9
Small Business Administration,7(a) Business Loans,2009,A,1805.4,68.8,0,0,1900,66.5,1800,58.5,1700,51
Small Business Administration,Disaster Assistance Loans,2009,A,806,168.5,0,0,800,133.6,800,106.4,800,85.6
Small Business Administration,Small Business Investment Centers (SBIC),2009,A,1856,20.4,0,0,1800,18,1750,17.5,1700,17
Social Security Administration,"Old Age, Survivors & Disability Insurance (OASDI)",2009,A,607210,2536,2041,495,658762,2634,696081,2784,722842,2892
Social Security Administration,Supplemental Security Income (SSI),2009,A,45045,5437,4648,789,49069,2552,51668,2687,52958,2753
Department of Agriculture,Child and Adult Care Food - FDC Homes-Tiering Component,2010,A,911,9,9,0,896,8.24,908,7.9,908,7.45
Department of Agriculture,Conservation Reserve,2010,A,1814,23.7,21.3,2.4,1973,13.81,1958,13.51,1958,13.51
Department of Agriculture,Direct & Counter-Cyclical Payments,2010,A,5921,55.6,50,5.6,6223,24.89,5712,22.28,5712,22.28
Department of Agriculture,Farm Security & Rural Investment,2010,A,1504.74,6.15,6.15,0,2172.2,3.26,2687.63,2.69,2687.63,2.69
Department of Agriculture,Farm Service Disaster,2010,A,108,5.1,4,1.1,1284,11.3,1205,10.48,1205,10.48
Department of Agriculture,Federal Crop Insurance,2010,A,8680,525.1,522.5,2.6,5425,244.13,6000,264,6000,258
Department of Agriculture,Loan Deficiency Payments,2010,A,114,0.46,0.31,0.15,183,0.81,24,0.1,24,0.1
Department of Agriculture,Marketing Assistance Loan,2010,A,4151,34.7,34.5,0.2,2278,18.45,127,1.03,127,1.03
Department of Agriculture,Milk Income Loss,2010,A,602,4.7,2.9,1.8,225,1.49,100,0.66,100,0.66
Department of Agriculture,Non-insured Assistance,2010,A,59,6.7,5.9,0.8,122,7.2,124,3.1,124,3.1
Department of Agriculture,Rental Assistance,2010,A,979,13.56,11.1,2.45,999,13.49,1029.6,13.49,1070.8,13.71
Department of Agriculture,School Breakfast,2010,A,2534,630,544,86,2823,679.21,2959,688.56,2959,666.37
Department of Agriculture,School Lunch,2010,A,8925,1453,1102,351,10061,1591.65,10456,1607.09,10456,1561.08
Department of Agriculture,"Special Nutrition Program for Women, Infants, and Children (WIC) Vendor Error Component",2010,A,6480,76,56,20,7704,74.73,7467,57.5,7467,42.56
Department of Agriculture,Supplemental Nutrition Assistance Program (SNAP),2010,A,50360.14,2194.96,1780.18,414.77,72577,3164.36,76030,3314.91,76030,3314.91
Department of Agriculture,Wildland Fire Suppression,2010,A,709.97,0,0,0,2300,0.46,2400,0.48,2500,0.5
Department of Defense--Military Programs,Civilian Pay,2010,A,34000,81.15,79.51,1.64,32300,84,32300,80.8,32300,77.5
Department of Defense--Military Programs,Military Health Benefits,2010,A,12500,249.6,100,149.6,18900,378,20100,402.4,21600,432.9
Department of Defense--Military Programs,Military Pay,2010,A,82500,505.9,167.1,338.8,71000,390.5,71000,377.9,71300,356.5
Department of Defense--Military Programs,Military Retirement Benefits,2010,A,43200,58.5,58.2,0.3,44500,53.4,44500,53.4,44500,53.4
Department of Defense--Military Programs,Travel Pay,2010,A,9300,174.6,145.7,28.9,9400,173.9,9400,169.2,9400,164
Department of Education,Pell Grants,2010,A,32215,1005,0,0,32454,1071,35058,1157,35630,1176
Department of Education,Title I - Grants to States,2010,A,13843,4.7,0,0,14220,5.69,14608,5.84,15007,6
Department of Health and Human Services,Child Care and Development Fund (CCDF),2010,A,6091,810,0,0,6239,817.3,5722,732.4,5583,692.3
Department of Health and Human Services,Foster Care-Title IV-E,2010,A,1483,72.7,0,0,1306,61.4,1224,55.1,1190,51.2
Department of Health and Human Services,HeadStart,2010,A,7234,123,0,0,8234,140,8646,147,9077,154.3
Department of Health and Human Services,Medicaid,2010,A,239012,22500,0,0,258706,21700,261284,19300,282831,18100
Department of Health and Human Services,Medicare Advantage (Part C),2010,A,96437,13600,0,0,129213,17700,111802,14800,120581,15600
Department of Health and Human Services,Medicare Fee-for-Service (FFS),2010,A,326400,29700,0,0,355956,30300,372303,23100,399112,23100
Department of Homeland Security,Assistance to Firefighters,2010,A,429,27.11,27.11,0,438,18.62,446,17.84,455,15.93
Department of Homeland Security,Aviation Security - Payroll,2010,A,2383,0.09,0,0.09,2518,0.09,2793,0.09,2999,0.09
Department of Homeland Security,CBP Border Security Fencing,2010,A,638,0.17,0.05,0.12,562,0.06,600,0,600,0
Department of Homeland Security,CBP Custodial Refund & Drawback,2010,A,1436,2.81,2.49,0.32,1198,2.4,1350,0.95,1350,0.95
Department of Homeland Security,Detention and Removal Operations,2010,A,1320,7.32,7.31,0.01,1414,3.54,1442,1.73,1471,0.88
Department of Homeland Security,Disaster Relief Fund Vendor Payments,2010,A,1382,45.85,41.89,3.96,1396,41.88,1410,35.25,1424,28.48
Department of Homeland Security,Federal Protective Service,2010,A,760,0.77,0.74,0.03,785,0.79,809,0.81,833,0.83
Department of Homeland Security,Homeland Security Grant Program,2010,A,1300,28.6,28.6,0,1430,28.6,1573,27.53,1730,25.95
Department of Homeland Security,Individuals & Households Program,2010,A,848,22.99,18.04,4.95,845,10.56,845,8.45,845,6.34
Department of Homeland Security,National Flood Insurance Program,2010,A,3287,72.96,72.96,0,3287,65.74,3287,57.52,3287,49.31
Department of Homeland Security,Public Assistance Programs,2010,A,5070,10.65,10.65,0,5070,9.63,5070,8.62,5070,7.61
Department of Homeland Security,Transit Security Grants Program,2010,A,119,0.11,0.11,0,122,0.11,125,0.11,127,0.11
Department of Homeland Security,USCG Active Duty Military Payroll,2010,A,2766,3.65,1.2,2.45,2927,3.81,3006,3.91,3068,3.99
Department of Housing and Urban Development,Public Housing / Rental Assistance,2010,A,30015.1,924.5,630.2,294.3,33000,990,33000,990,33000,990
Department of Labor,Unemployment Insurance (UI),2010,A,156000,17472,16536,936,90977,8879,66780,6451,63859,6105
Department of Labor,Workforce Investment Act (WIA),2010,A,5875,11.8,11.8,0,4496,3.1,3723,2.6,3700,2.6
Department of the Treasury,Earned Income Tax Credit (EITC),2010,A,64200,16900,0,0,64100,16900,58200,15300,58300,15300
Department of Transportation,FAA Airport Improvement Program,2010,A,4024,1.3,0,0,3606,18,3297,16.5,2731,13.7
Department of Transportation,FHWA Highway Planning/Construction,2010,A,44187,616.8,0,0,48010,480.1,45238,452.4,45087,450.9
Department of Transportation,FTA Capital Investment Grants Program,2010,A,3251,0,0,0,2424,12.1,2200,11,2199,11
Department of Transportation,FTA Formula Grants Program,2010,A,8868,14.3,0,0,9168,45.8,8777,43.9,9038,45.2
Department of Veterans Affairs,Compensation/Dependency & Indemnity,2010,A,56957,569.6,427.2,142.4,48661,486.7,51725,506.9,55561,527.8
Department of Veterans Affairs,Education,2010,A,8909,712.8,356.4,356.4,10074,705.2,10511,262.8,10941,218.8
Department of Veterans Affairs,Fee Program,2010,A,3442,477.9,330.2,147.7,4600,552,5500,605,6400,640
Department of Veterans Affairs,Insurances,2010,I,1334,0.36,0.36,0,1312,0.35,1265,0.34,1249,0.33
Department of Veterans Affairs,Non-VA Care Civilian Health and Medical Program of the Dept of Veterans Affairs (CHAMPVA),2010,A,680.1,39.38,39.11,0.27,757.1,37.86,828.8,37.3,895.9,31.36
Department of Veterans Affairs,Pension,2010,A,4354,355.7,343.1,12.6,4627,371.6,5476,431,5809,456.6
Environmental Protection Agency,Clean & Drinking Water State Revolving Fund (SRF),2010,A,4758,1.8,0,0,3981,5,3587,5,3596,5
International Assistance Programs,USAID Twenty Seven Program Areas,2010,A,14330,32,32,0,15047,24,15799,16,16589,7
Office of Personnel Management,Background Investigations,2010,A,677.1,9.5,0,0,432.4,4.8,445.4,3.8,467.7,2.3
Office of Personnel Management,Federal Employee Health Benefit Program,2010,A,38778.8,59.4,59.2,0.2,40713,115.4,42513,116.4,42513,116.4
Office of Personnel Management,Federal Employee Life Insurance Program,2010,A,2596.7,1,0.3,0.7,2690.5,1.1,2787.7,1.1,2888.4,1.2
Office of Personnel Management,Federal Employee Retirement Programs,2010,A,68834,237.6,184.9,52.7,70434,237,72034,236,73634,233
Railroad Retirement Board,Retirement and Survivors Benefits,2010,A,10519.4,73.1,52.5,20.6,10817.3,75.1,10964,76.2,11179.7,77.7
Small Business Administration,(504) Certified Development Company Debentures (CDC),2010,A,4500.2,0,0,0,5000,0,5500,0,6000,0
Small Business Administration,7(a) Business Loans,2010,A,2392.2,44.8,44.8,0,1523.6,27.4,1296.8,22,1223,19.6
Small Business Administration,7(a) Guaranty Approvals,2010,A,11638.7,0,0,0,12500,0,14000,0,15500,0
Small Business Administration,CDC Loans Guarantied,2010,A,4500.2,0,0,0,5000,0,5500,0,6000,0
Small Business Administration,Disaster Assistance Loans,2010,A,372.1,127.1,127.1,0,800,160,800,136,800,120
Small Business Administration,Small Business Investment Centers (SBIC),2010,A,1475,14.6,14.6,0,1400,14,1400,14,1400,12.6
Social Security Administration,"Old Age, Survivors & Disability Insurance (OASDI)",2010,A,659565,3166,2547,619,696180,2784,723491,2894,755191,3020
Social Security Administration,Supplemental Security Income (SSI),2010,A,48294,4827,4040,787,51166,4912,52367,4817,55969,4870
Department of Agriculture,Child and Adult Care Food - FDC Homes-Tiering Component,2011,A,896,13.7,12.2,1.5,908,13.44,924,13.21,946,13.05
Department of Agriculture,Conservation Reserve,2011,A,1605,26.5,26.1,0.4,1997,13.78,2142,13.71,2142,12.85
Department of Agriculture,Direct & Counter-Cyclical Payments,2011,A,3877,2.1,2.1,0,5139,3,5712,3,3879,2
Department of Agriculture,Farm Security & Rural Investment,2011,A,1432.8,11.4,11.4,0,2205.01,0.66,2530.92,0.76,2898.53,0.87
Department of Agriculture,Farm Service Disaster,2011,A,235,6.7,6.7,0,700,19.6,850,22.95,300,7.8
Department of Agriculture,Federal Crop Insurance,2011,A,5225,246.6,245.1,1.5,4750,209,9000,387,8000,336
Department of Agriculture,Loan Deficiency Payments,2011,A,0.2,0,0,0,0.1,0,0.1,0,0.1,0
Department of Agriculture,Marketing Assistance Loan,2011,A,3054,15.9,14.9,1,25,0.13,21,0.1,21,0.1
Department of Agriculture,Milk Income Loss,2011,A,182,3.64,3.64,0,1.28,0.02,250,4.5,250,4.25
Department of Agriculture,Non-insured Assistance,2011,A,90,8.1,7.4,0.7,117,8.15,115,5.72,115,2.88
Department of Agriculture,Rental Assistance,2011,A,1020,15.09,12,3.09,1029.6,14.93,1070.8,15.21,1113.6,15.48
Department of Agriculture,School Breakfast,2011,A,2824,705,608,97,3183,768.69,3307,772.52,3452,780.15
Department of Agriculture,School Lunch,2011,A,10739,1716,1302,414,11853,1840.77,11981,1809.13,12578,1845.19
Department of Agriculture,"Special Nutrition Program for Women, Infants, and Children (WIC) Vendor Error Component",2011,A,4648,192,176,16,4872,197.32,5174,205.41,5161,200.76
Department of Agriculture,Supplemental Nutrition Assistance Program (SNAP),2011,A,64705,2465.08,1976.68,488.39,76030,2896.74,76030,2896.74,76030,2896.74
Department of Agriculture,Wildland Fire Suppression,2011,A,491.12,0,0,0,1212,0.24,1239,0.25,1268,0.25
Department of Defense--Military Programs,Civilian Pay,2011,A,58700,90.9,90.8,0.1,58000,92.8,57500,92,57000,91.2
Department of Defense--Military Programs,Military Health Benefits,2011,A,12600,30.2,21.2,9,16400,321,17500,328,19000,380
Department of Defense--Military Programs,Military Pay,2011,A,96000,474.3,209.1,265.2,96000,460.8,95000,446.5,94000,432.4
Department of Defense--Military Programs,Military Retirement Benefits,2011,A,42200,18.9,18.8,0.1,42500,17,42900,17.2,43500,17.4
Department of Defense--Military Programs,Travel Pay,2011,A,8700,286.6,238.2,48.4,8500,278,8500,277.1,8500,276.3
Department of Defense--Military Programs,USACE Travel Pay,2011,A,212,2.12,2,0.12,212,2.12,212,2.12,212,2.12
Department of Education,Pell Grants,2011,A,36515,993,672,321,37090,1009,38505,1047,35199,957
Department of Education,Title I - Grants to States,2011,A,17926,9,9,0,14825,7.4,14487,7.2,14492,7.2
Department of Health and Human Services,Child Care and Development Fund (CCDF),2011,A,5677,638,580,58,5774,624,5747,569,5745,552
Department of Health and Human Services,Foster Care-Title IV-E,2011,A,1374,72.1,62.9,9.2,1270,57.2,1244,53.5,1230,49.2
Department of Health and Human Services,HeadStart,2011,A,7235,44.1,44.1,0,8100,48.6,8100,48.6,8100,48.6
Department of Health and Human Services,Medicaid,2011,A,269241,21900,21448,452,262433,19420,281077,17990,343872,20630
Department of Health and Human Services,Medicare Advantage (Part C),2011,A,112215,12390,9040,3350,118329,12310,128522,12600,123623,11370
Department of Health and Human Services,Medicare Fee-for-Service (FFS),2011,A,336378,28810,28038,772,364449,19680,384112,19210,418989,20110
Department of Health and Human Services,Medicare Prescription Drug Benefit (Part D),2011,A,53162,1709,1604,105,62528,2000,76259,2360,82029,2460
Department of Homeland Security,Assistance to Firefighters,2011,A,385,19.8,19.8,0,440,19,440,15.4,440,11
Department of Homeland Security,Aviation Security - Payroll,2011,A,2458,0,0,0,2619,0,2841,0,2951,0
Department of Homeland Security,CBP Border Security Fencing,2011,A,251,0,0,0,396,0,528,0,458,0
Department of Homeland Security,CBP Custodial Refund & Drawback,2011,A,1198,3,3,0,1405,2.4,1300,2,1300,2
Department of Homeland Security,Detention and Removal Operations,2011,A,1332,108,108,0,1414,112.4,1442,59,1471,29
Department of Homeland Security,Disaster Relief Fund Vendor Payments,2011,A,582,17,17,0,933,19,933,14,933,9
Department of Homeland Security,Federal Protective Service,2011,A,811,27,27,0,835,21,943,19,1009,15
Department of Homeland Security,FEMA Emergency Food and Shelter Program,2011,A,201,15.3,15.3,0,251,12.6,251,10,251,8.8
Department of Homeland Security,Homeland Security Grant Program,2011,A,1516,5,5,0,1402,4.8,1402,4.8,1402,4.8
Department of Homeland Security,Individuals & Households Program,2011,A,679,2,0,2,722,2,722,2,722,2
Department of Homeland Security,National Flood Insurance Program,2011,A,1085,13,12,1,1730,19,1730,17,1730,16
Department of Homeland Security,Public Assistance Programs,2011,A,3532,11,11,0,3976,8,3976,8,3976,8
Department of Homeland Security,Transit Security Grants Program,2011,A,109,0.8,0.8,0,114,0.1,114,0.1,114,0.1
Department of Homeland Security,USCG Active Duty Military Payroll,2011,A,2918,4,3,1,3006,4,3006,4,3006,4
Department of Housing and Urban Development,Public Housing / Rental Assistance,2011,A,32563.6,959.4,621.5,337.9,34000,952,34000,952,34000,952
Department of Labor,Unemployment Insurance (UI),2011,A,114140,13697,12955,742,74110,7159,53900,5153,51450,4918
Department of Labor,Workforce Investment Act (WIA),2011,A,4123,12.4,12,0.4,3723,2.6,3700,2.6,3550,2.4
Department of the Treasury,Earned Income Tax Credit (EITC),2011,A,64700,15200,0,0,57000,13400,57000,13400,51200,12000
Department of Transportation,FAA Airport Improvement Program,2011,A,3906,34.6,34.6,0,3613,27.1,3018,22.6,2572,12.9
Department of Transportation,FHWA Highway Planning/Construction,2011,A,48142,450.3,448.3,2,43552,326.6,48989,367.4,52321,392.4
Department of Transportation,FTA Capital Investment Grants Program,2011,A,2421,0,0,0,2037,0,1557,0,1201,0
Department of Transportation,FTA Formula Grants Program,2011,A,8938,0,0,0,9481,23.7,8823,22.1,8433,21.1
Department of Veterans Affairs,Compensation/Dependency & Indemnity,2011,A,62983,629.9,478.7,151.2,52917,529.2,57239,572.4,61689,579.8
Department of Veterans Affairs,Education,2011,A,10299,216.2,154.5,61.7,10625,201.9,10857,173.7,11611,162.6
Department of Veterans Affairs,Fee Program,2011,A,4205,522.9,427.8,95.1,5500,550,6600,330,7500,187.5
Department of Veterans Affairs,Insurances,2011,I,1613,0.16,0.16,0,1568,0.15,1499,0.15,1458,0.14
Department of Veterans Affairs,Other Contractural Services,2011,A,3146,276.3,276.3,0,3303,165.2,3468,48.6,3642,36.4
Department of Veterans Affairs,Pension,2011,A,4614,46.2,44.8,1.4,4937,49.4,5300,53,5710,54.8
Department of Veterans Affairs,State Home Per Diem Grants,2011,A,713.2,97.6,92.3,5.3,860,103.2,1006,100.6,1177,76.5
Department of Veterans Affairs,Supplies and Materials,2011,A,1626,221.1,221.1,0,1707,204.8,1792,179.2,1882,169.4
Department of Veterans Affairs,Vocational Rehabilitation/Employment,2011,I,819.6,57.4,57.4,0,841,58.9,959.7,54.4,959.7,48
Environmental Protection Agency,Clean & Drinking Water State Revolving Fund (SRF),2011,A,3645,14.18,14.17,0.01,3562,10.7,3289,9.9,3300,9.9
Federal Communications Commission,Universal Service Fund - High Cost,2011,A,4574,5.03,5.03,0,4590.3,5.04,4613.3,5.07,4642.8,5.1
Federal Communications Commission,Universal Service Fund - Schools and Libraries,2011,A,2314,21.75,21.75,0,2244.1,21.09,2265,21.29,2235.2,21.01
International Assistance Programs,USAID Twenty Seven Program Areas,2011,A,16446,26.75,26.75,0,17268,23.82,18132,20.93,19038,17.72
Office of Personnel Management,Background Investigations,2011,A,695.4,10.8,9.8,1,700,9,700,9,700,9
Office of Personnel Management,Federal Employee Health Benefit Program,2011,A,40493,151.7,149.5,2.2,42323.5,127.2,44241.7,127.2,46251.8,127.2
Office of Personnel Management,Federal Employee Life Insurance Program,2011,A,2582.3,0.5,0.3,0.2,2618.3,1.1,2654.8,1.1,2691.7,0.9
Office of Personnel Management,Federal Employee Retirement Programs,2011,A,69792.4,235.9,183.6,52.3,70764.1,240.6,71749.4,236.6,72748.4,232.8
Railroad Retirement Board,Retirement and Survivors Benefits,2011,A,10780.2,62.3,51.1,11.2,10959.1,63.4,11171.2,64.6,11487.9,66.4
Small Business Administration,(504) Certified Development Company Debentures (CDC),2011,A,4375.3,0,0,0,5500,0,6000,0,6500,0
Small Business Administration,7(a) Business Loans,2011,A,2355.6,40.7,40.7,0,2300,32.2,2200,28.6,2100,27.3
Small Business Administration,7(a) Guaranty Approvals,2011,A,5327.8,0,0,0,16000,0,16500,0,17000,0
Small Business Administration,CDC Loans Guarantied,2011,A,4375.3,0,0,0,5500,0,6000,0,6500,0
Small Business Administration,Disaster Assistance Loans,2011,A,339.6,96.3,96.3,0,800,160,800,136,800,120
Small Business Administration,Small Business Investment Centers (SBIC),2011,A,1421,16.7,16.7,0,1400,16.8,1400,15.4,1400,14
